Num,Ticket,Linea,Provincia,Agencia,Numeros_Jugados,Aciertos,Instancia
1,01,866,51,00116,"4-5-17-35-39-40",6,3
2,01,2062,51,00328,"4-11-26-27-29-35",6,3
3,01,3221,51,00446,"4-16-26-32-39-40",6,3
4,01,3397,51,00453,"5-13-17-26-29-32",6,3
5,01,3420,51,00453,"5-17-26-29-32-40",6,3
6,01,5093,51,00594,"4-16-20-27-39-40",6,3
7,01,6821,51,00906,"4-5-11-16-20-26",6,3
8,01,6955,51,00924,"5-17-26-29-35-39",6,3
9,01,7797,51,01017,"9-11-13-26-27-39",6,3
10,01,10360,51,01109,"5-11-13-16-20-32",6,3
11,01,10504,51,01114,"9-11-16-20-26-39",6,3
12,01,11950,51,01160,"4-5-17-20-27-35",6,3
13,01,12194,51,01168,"5-9-11-13-27-32",6,3
14,01,13687,51,01239,"11-13-17-20-29-32",6,3
15,01,14415,51,01274,"5-17-20-29-32-35",6,3
16,01,15633,51,01340,"4-9-11-13-17-29",6,3
17,01,16261,51,01373,"4-11-13-27-35-40",6,3
18,01,16525,51,01380,"5-9-11-17-27-39",6,3
19,01,17127,51,01402,"9-11-16-17-20-32",6,3
20,01,18722,51,01469,"4-13-16-17-20-35",6,3
21,01,19063,51,01508,"9-16-20-27-32-39",6,3
22,01,19415,51,01525,"4-17-20-26-29-32",6,3
23,01,19636,51,01540,"4-11-16-27-32-39",6,3
24,01,25094,51,01782,"5-9-13-16-17-20",6,3
25,01,26708,51,01855,"4-11-16-27-32-40",6,3
26,01,32685,51,02065,"5-11-16-27-32-39",6,3
27,01,32909,51,02075,"9-26-27-29-35-40",6,3
28,01,34098,51,02132,"4-11-17-29-35-39",6,1
29,01,39791,51,02318,"4-13-17-27-32-40",6,3
30,01,41662,51,02380,"4-9-13-17-27-35",6,3
31,01,43056,51,02416,"4-11-13-20-26-35",6,3
32,01,43168,51,02417,"11-13-27-32-35-39",6,3
33,01,43588,51,02441,"9-11-16-17-29-35",6,3
34,01,43600,51,02441,"9-11-13-16-17-39",6,3
35,01,43932,51,02455,"11-17-20-26-29-32",6,3
36,01,44922,51,02489,"9-11-17-27-29-32",6,3
37,01,46316,51,02586,"4-5-13-17-27-32",6,3
38,01,50736,51,03075,"9-13-26-27-29-32",6,3
39,01,51245,51,03107,"5-13-20-27-32-35",6,3
40,01,51425,51,03108,"4-13-16-20-29-32",6,3
41,01,51627,51,03112,"4-5-11-13-16-40",6,3
42,01,51786,51,03116,"5-11-17-26-32-40",6,3
43,01,52281,51,03131,"4-5-9-11-27-35",6,3
44,01,53168,51,03156,"4-11-16-17-35-40",6,3
45,01,61969,51,03902,"5-9-13-17-26-29",6,3
46,01,61990,51,03902,"5-11-17-26-35-39",6,3
47,01,62151,51,03915,"4-5-17-20-26-32",6,3
48,01,62423,51,03923,"5-11-13-17-20-35",6,3
49,01,66760,51,04384,"11-20-27-29-32-40",6,3
50,01,67754,51,05487,"4-5-13-16-27-32",6,3
51,01,68399,51,05498,"4-5-9-16-20-29",6,3
52,01,68496,51,05501,"4-5-13-26-29-32",6,3
53,01,70276,51,05527,"4-11-17-26-29-35",6,3
54,01,71987,51,05558,"13-17-20-26-32-35",6,3
55,01,72091,51,05559,"5-13-20-27-32-40",6,3
56,01,74598,51,05602,"11-16-20-26-32-40",6,3
57,01,76301,51,05630,"4-11-13-20-39-40",6,3
58,01,76564,51,05638,"5-17-26-29-35-39",6,3
59,01,76711,51,05642,"4-16-17-29-35-39",6,3
60,01,77837,51,05658,"5-11-13-17-20-29",6,3
61,01,78325,51,05664,"9-11-16-17-26-39",6,3
62,01,79425,51,05686,"5-9-11-20-29-32",6,3
63,01,79936,51,05695,"4-9-11-13-26-32",6,3
64,01,80460,51,05706,"4-11-16-20-26-39",6,3
